;id;Affiliation;Post;birthyear;takeover;tenure in years;party affiliation;gender;aff2;origin_province;a48;a47;a46;a45;a44;a43;a42;a41;a40;a39;a38;a37;a36;a35;a34;a33;a32;a31;a30;a29;a28;a27;a26;a25;a24;a23;a22;a21;a20;a19;a18;a17;a16;a15;a14;a13;a12;a11;a10;a9;a8;a7;a6;a5;a4;a3;a2;a1;a0
Mohamed Lamine Chakhari;67;Moncef Marzouki;Ministre de l'Industrie;1957;2011;1;Ennahdha;m;Demokratie;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ut;ut;p;p;p;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Elyes Fakhfakh;68;Moncef Marzouki;Ministre du Tourisme;1972;2011;1;Ettakatol;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad
Khalil Zaouia;69;Moncef Marzouki;Ministre des Affaires sociales;1961;2011;1;Ettakatol;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;;;gew;gew;gew;gew;gew;p;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;gew;p
Abdellatif Abid;70;Moncef Marzouki;Ministre de l'Education;1947;2011;1;Ettakatol;m;Demokratie;Nabeul;;;;;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Abdellatif Mekki;71;Moncef Marzouki;Ministre de la Sant_ publique;1962;2011;3;Ennahdha;m;Demokratie;Le Kef;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;gef;gef;gef;;;;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;opp;opp;opp;opp;opp;opp;opp;opp
Riadh Bettaieb;72;Moncef Marzouki;Ministre de l'investissement et de la Coop_ration internationale;1961;2011;1;Ennahdha;m;Demokratie;Medenine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Abdelwahab Maatar;73;Moncef Marzouki;Ministre de la Formation professionelle et de l'Emploi;1952;2011;1;CPR;m;Demokratie;Sfax;;;;;;;;;;;ut;ut;ut;ut;ut;ad;ad;adh;adh;adh;adh;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Abdelkarim Harouni;74;Moncef Marzouki;Ministre du Transport;1960;2011;3;Ennahdha;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;p;p;p;opp;opp;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;opp;opp;opp;opp
Mongi Marzouk;75;Moncef Marzouki;Ministre des Technologies et de la Communication;1961;2011;3;Ennahdha;m;Demokratie;Gabes;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad
Jameleddine Gharbi;77;Moncef Marzouki;Ministre du D_veloppement et de la Planification ;1964;2011;2;Ennahdha;m;Demokratie;Jendouba;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ue;ue;ue;ue;ue;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Tarak Dhiab;78;Moncef Marzouki;Ministre de la Jeunesse et des Sports;1954;2011;3;Independant;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;ad;ad;gef
Mehdi Mabrouk;79;Moncef Marzouki;Ministre de la Culture;1963;2011;3;Independant;m;Demokratie;Mahdia;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Sihem Badi;80;Moncef Marzouki;Ministre des Affaires de la femme;1967;2011;3;CPR;f;Demokratie;Tozeur;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;gef;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;uf;uf;uf;uf;uf;;;;
Moncef Ben Salem;81;Moncef Marzouki;Ministre de l'Enseingement sup_rieur;1953;2011;1;Ennahdha;m;Demokratie;;;;;;;;;;ut;ut;ut;ut;ut;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Salim Ben Hamidane;82;Moncef Marzouki;Ministre des Domaines de l'Etat et des Affaires foncières;1969;2011;3;CPR;m;Demokratie;Medenine;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;gew;gew;opp;opp;gef;gef;;;uf;uf;uf;uf;opp;opp;opp;opp;opp;opp;opp;opp;opp;opp
Mohamed Ben Salem;83;Moncef Marzouki;Ministre de l'agriculture;1953;2011;3;Ennahdha;m;Demokratie;;;;;;;;;;;;;;;;;;;;;;;;gef;opp;opp;opp;gef;gef;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;opp;opp;opp
M_mia El Benna;84;Moncef Marzouki;Ministre de l'Environnement;1966;2011;2;Independant;f;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;uf;uf;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;cadu;cadu;cadu;cadu;cadu
Rachid Sabbagh;85;Ali Larayedh;Ministre de la D_fense;1948;2011;3;Independant;m;Demokratie;;;;;;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ju;ju;ju;ju;ju;ju;ju;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
Lotfi Ben Jeddou;86;Ali Larayedh;Ministre de l'Int_rieur;1964;2013;2;Independant;m;Demokratie;Kasserine;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju
Othman Jerandi;87;Ali Larayedh;Ministre des Affaires _trangères;;2013;1;Independant;m;Demokratie;Ben Arous;;;;;;;;;;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn
Jamel Gamra;72;Ali Larayedh;Ministre du Tourisme;1961;2013;1;Independant;m;Demokratie;Monastir;;;;;;;;;;;;;;;;;ut;ut;ut;ue;ue;ue;ue;ue;ue;ue;ue;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad
Salem Labiadh;76;Ali Larayedh;Ministre de l'Education;1964;2013;1;Independant;m;Demokratie;Medenine;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ut;ut;ut;ut;ut;ut;ut;ut;cadu;cadu;cadu;cadu;cadu
Naoufel Jammali;88;Ali Larayedh;Ministre de la formation professionelle et de l'Emploi;1976;2013;1;Independant;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;adh
Mehdi Jomaa;89;Mehdi Jomaa;Chef du gouvernement;1962;2013;2;Independant;m;Demokratie;Mahdia;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad
Ghazi Jeribi;90;Mehdi Jomaa;Ministre de la D_fense nationale;1955;2014;1;Independant;m;Demokratie;Tunis;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;rn;rn;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh
Mongi Hamdi;91;Mehdi Jomaa;Ministre des Affaires _trangères;1959;2014;1;Independant;m;Demokratie;Sidi Bouzid;;;;;;;;;;;;;;;;ut;ut;ut;ue;ue;ue;ue;ue;ue;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;ue;ue;ue;rn;rn;rn;rn;rn;rn;rn;rn;rn;dn;dn;dn
Hafedh Ben Salah;92;Mehdi Jomaa;Ministre de la Justice ;1950;2014;1;Independant;m;Demokratie;Monastir;;;;;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;adh
Hakim Ben Hammouda;93;Mehdi Jomaa;Ministre tunisien de l'Economie et des Finances;1961;2014;1;Independant;m;Demokratie;Monastir;;;;;;;;;;;;;;;;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;p;p;p
Kamel Ben Naceur;94;Mehdi Jomaa;Ministre de l'Industrie d'Energie et des Mines;1956;2014;1;Independant;m;Demokratie;Gafsa;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad
Nejla Moalla Harrouch;95;Mehdi Jomaa;Ministre du Commerce et de l'Artisanat;1963;2014;1;Independant;f;Demokratie;;;;;;;;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad
Amel Karboul;96;Mehdi Jomaa;Ministre du Tourisme;1973;2014;1;Independant;f;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ue;ue;ue;ue;ue;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad
Ahmed Ammar Younbaii;97;Mehdi Jomaa;Ministre des Affaires sociales;1950;2014;2;Independant;m;Demokratie;Tozeur;;;;;;ut;ut;ut;ut;ut;ut;uf;uf;ut;ut;;;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;adh;adh;adh
Fathi Jarray;98;Mehdi Jomaa;Ministre de l'Education;1963;2014;1;Independant;m;Demokratie;Medenine;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;u;u;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Mohamed Salah Ben Ammar;99;Mehdi Jomaa;Ministre de la Sant_ publique;1955;2014;1;Independant;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;adh;adh;adh;adh;adh
Hafedh Laamouri;100;Mehdi Jomaa;Ministre de l'Emploi et de la Formation professionnelle;1955;2014;1;Independant;m;Demokratie;Sfax;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Chiheb Ben Ahmed;101;Mehdi Jomaa;Ministre de l'Equipement;1966;2014;1;Independant;m;Demokratie;Sfax;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad
H_di Larbi;102;Mehdi Jomaa;Ministre de l'Equipement;1950;2014;1;Independant;m;Demokratie;Bizerte;;;;;;uf;uf;uf;uf;uf;uf;ad;ad;ad;ad;ad;ad;ad;ad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;p;p;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad
Saber Bouatay;103;Mehdi Jomaa;Ministre de la Jeunesse, des Sports, de la Femme, de l'Enfance et des Personnes ag_es;1970;2014;1;Independant;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;adh;adh
Mourad Sakli;104;Mehdi Jomaa;Ministre de la Culture;1965;2014;1;Independant;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;ut;ut;ut;uf;uf;uf;uf;uf;uf;uf;uf;uf;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cad;cad;cad;cad;cad
Taoufik Jelassi;105;Mehdi Jomaa;Ministre de l'Enseingement sup_rieur;1957;2014;1;Independant;m;Demokratie;Monastir;;;;;;;;;;;ut;ut;ut;uf;uf;ue;ue;ue;ue;u;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cad;cad;cad
Lassaad Lachaal;106;Mehdi Jomaa;Ministre de l'agriculture;1961;2014;1;Independant;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ad;ad;ad;ue;ue;ue;ue;;;;cad;cad;cad;cad;cad;cad;cad;p;p;p;p;p;p
Habib Essid;107;Habib Essid;Ministre de l'Int_rieur;1949;2011;1;Independant;m;Demokratie;Sousse;;;;;;ut;ut;ut;ut;ue;ue;ue;ue;ad;ad;ad;ad;ad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad
Farhat Horchani;108;Habib Essid;Ministre de la D_fense nationale;1953;2015;1;Independant;m;Demokratie;Tozeur;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;p;p;p;p
Mohamed Najem Gharsalli;109;Habib Essid;Ministre de l'Int_rieur;1962;2015;1;Independant;m;Demokratie;Kasserine;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;dn;dn;dn;dn;dn
Taieb Baccouche;110;Habib Essid;Ministre des Affaires _trangères;1944;2015;1;Nidaa Tounes;m;Demokratie;Monastir;ut;ut;ut;ut;ut;gew;gew;gef;gef;gef;gef;gef;gew;gew;gew;gew;gew;u;u;u;u;u;u;u;u;u;u;u;u;u;u;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;rh;pol;pol;pol;pol
Othman Battikh;111;Habib Essid;Ministre des Affaires religieuses;1941;2015;1;Independant;m;Demokratie;Tunis;;;;ut;ut;ut;ut;ut;ju;ju;ju;ut;ut;ut;ut;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;rn;rn;rn;rn;rn;rn;adh;adh;adh;adh;adh;adh;adh;;
Slim Chaker;112;Habib Essid;Ministre des Finances;1961;2015;1;Nidaa Tounes;m;Demokratie;Sfax;;;;;;;;;;;ut;ut;ut;ut;ut;uf;uf;uf;ad;ad;ad;ad;ad;ad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;p;p;p;dn;dn;dn;dn
Yassine Brahim ;113;Habib Essid;Ministre du D_veloppement, de l'Investissement et de la Coop_ration internationale;1966;2015;1;Afek Tounes;m;Demokratie;Mahdia;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;pol;pol;pol;pol
Hatem El Euchi;114;Habib Essid;Ministre des Domaines de l'Etat et des Affaires foncières;1964;2015;1;Union patriotique libre;m;Demokratie;Jendouba;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ju;ju;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ju;ju;ju;ju;ju;ad;ad;ad;ad;ad;ad;ad
N_ji Jalloul;115;Habib Essid;Ministre de l'Education;1957;2015;1;Nidaa Tounes;m;Demokratie;Monastir;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;u;u;u;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;pol;pol
Chiheb Bouden;116;Habib Essid;Ministre de l'Enseingement sup_rieur;1961;2015;1;Independant;m;Demokratie;Kairouan;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;uf;uf;uf;uf;uf;ut;ut;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Zied Ladhari;117;Habib Essid;Ministre de l'Emploi et de la Formation professionnelle;1975;2015;1;Ennahdha;m;Demokratie;Sousse;;;;;;;;;;;;;;;;;;;;;;;;;;gef;opp;ut;ut;ut;ut;opp;opp;uf;uf;uf;uf;uf;ju;ju;ju;ju;ju;ju;pol;dn;dn;dn;dn
Ahmed Ammar Younbaii;118;Habib Essid;Ministre des Affaires sociales;1950;2014;2;Independant;m;Demokratie;Tozeur;;;;;;;;;ut;ut;uf;uf;ut;ut;;;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;dn;dn;dn
Said Aidi;119;Habib Essid;Ministre de la Formation professionelle et de l'Emploi;1961;2011;1;Nidaa Tounes;m;Demokratie;Tunis;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad
Latifa Lakhdar;120;Habib Essid;Ministre de la Culture et de la Sauvegarde du patrimoine;1956;2015;1;Independant;f;Demokratie;Medenine;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;dn;dn;dn
Samira Merai;121;Habib Essid;Ministre de la Femme et de la Famille;1963;2015;1;Afek Tounes;f;Demokratie;Medenine;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;p;p;p;p;p;p;p;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;dn;dn;dn;dn
Maher Ben Dhia;122;Habib Essid;Ministre de la Jeunesse et des Sports;1967;2015;1;Union patriotique libre;m;Demokratie;Sfax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ue;ue;ue;ue;ue;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju;ju
Nejib Derouiche;123;Habib Essid;Ministre de l'Environnement et du D_veloppement durable;1969;2015;1;Union patriotique libre;m;Demokratie;Bizerte;;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;uf;uf;uf;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad
Ridha Lahouel;124;Habib Essid;Ministre du Commerce;1957;2015;1;Afek Tounes;m;Demokratie;Monastir;;;;;;;;;;;;;;;;ut;ut;ut;ut;;;;;;;;;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;dn;dn;dn
Mahmoud Ben Romdhane;125;Habib Essid;Ministre des Affaires sociales;1948;2015;1;Nidaa Tounes;m;Demokratie;Sfax;;;;;uf;uf;uf;uf;ut;ut;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;pol;pol;pol;pol;pol;pol
Noomane Fehri;126;Habib Essid;Ministre des Technologies et de la Communication;1965;2015;1;Afek Tounes;m;Demokratie;Nabeul;;;;;;;;;;;;;;;;;;ut;ut;ut;uf;uf;uf;uf;uf;uf;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;cad;pol;pol;pol;pol